IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.73.24,443,443,true,FRA,Europe,Frankfurt,178,9.60
132.226.129.4,443,443,true,FRA,Europe,Frankfurt,176,9.59
158.178.158.91,443,443,true,FRA,Europe,Frankfurt,163,9.57
141.147.69.67,443,443,true,FRA,Europe,Frankfurt,183,9.57
132.145.64.126,443,443,true,FRA,Europe,Frankfurt,159,9.56
84.235.175.145,443,443,true,FRA,Europe,Frankfurt,172,9.55
158.180.30.192,443,443,true,FRA,Europe,Frankfurt,172,9.55
152.70.52.215,443,443,true,AMS,Europe,Amsterdam,168,9.52
143.47.179.67,443,443,true,FRA,Europe,Frankfurt,167,9.48
141.147.70.157,443,443,true,FRA,Europe,Frankfurt,207,9.48
89.168.72.114,443,443,true,FRA,Europe,Frankfurt,206,9.45
144.21.61.12,443,443,true,FRA,Europe,Frankfurt,196,9.45
89.168.124.141,443,443,true,FRA,Europe,Frankfurt,164,9.38
141.148.243.237,443,443,true,FRA,Europe,Frankfurt,190,9.36
146.56.172.41,443,443,true,SIN,Asia Pacific,Singapore,202,9.30
158.178.192.221,443,443,true,CDG,Europe,Paris,177,9.29
84.235.172.140,443,443,true,FRA,Europe,Frankfurt,170,9.28
193.122.101.68,2083,2083,true,ICN,Asia Pacific,Seoul,235,9.27
193.122.101.68,2083,2083,true,ICN,Asia Pacific,Seoul,146,9.26
152.70.123.225,8443,443,true,SJC,North America,San Jose,177,9.23
192.9.137.193,8443,443,true,SJC,North America,San Jose,191,9.19
152.70.245.231,443,443,true,SIN,Asia Pacific,Singapore,205,9.19
130.61.87.219,443,443,true,FRA,Europe,Frankfurt,184,9.19
158.178.156.189,443,443,true,FRA,Europe,Frankfurt,181,9.16
158.178.153.58,443,443,true,FRA,Europe,Frankfurt,209,9.15
141.147.118.82,443,443,true,FRA,Europe,Frankfurt,183,9.10
141.145.199.188,443,443,true,CDG,Europe,Paris,170,9.08
140.238.123.239,443,443,true,FRA,Europe,Frankfurt,198,9.05
143.47.251.117,443,443,true,FRA,Europe,Frankfurt,179,9.01
152.67.149.17,443,443,true,FRA,Europe,Frankfurt,170,9.01
158.180.42.9,443,443,true,FRA,Europe,Frankfurt,164,8.99
146.56.129.214,443,443,true,SIN,Asia Pacific,Singapore,216,8.97
84.235.174.25,443,443,true,FRA,Europe,Frankfurt,265,8.95
192.18.134.22,443,443,true,SJC,North America,San Jose,185,8.93
143.47.188.133,443,443,true,FRA,Europe,Frankfurt,181,8.88
150.230.126.48,443,443,true,FRA,Europe,Frankfurt,175,8.82
144.24.85.158,443,443,true,ICN,Asia Pacific,Seoul,118,8.81
84.8.149.106,443,443,true,FRA,Europe,Frankfurt,175,8.79
192.9.132.79,443,443,true,SJC,North America,San Jose,191,8.78
141.147.37.83,443,443,true,FRA,Europe,Frankfurt,213,8.76
152.70.37.247,443,443,true,SIN,Asia Pacific,Singapore,213,8.74
192.9.250.241,443,443,true,SJC,North America,San Jose,176,8.72
132.145.54.84,8443,443,true,LHR,Europe,London,173,8.67
132.226.208.126,443,443,true,FRA,Europe,Frankfurt,174,8.65
141.148.245.79,443,443,true,AMS,Europe,Amsterdam,185,8.63
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,167,8.63
89.168.85.216,443,443,true,FRA,Europe,Frankfurt,179,8.61
158.180.14.106,443,443,true,FRA,Europe,Frankfurt,183,8.60
64.110.67.165,443,443,true,SIN,Asia Pacific,Singapore,217,8.58
141.147.69.115,443,443,true,FRA,Europe,Frankfurt,178,8.56
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,167,8.56
132.145.54.84,2053,443,true,LHR,Europe,London,167,8.56
152.70.117.136,443,443,true,SJC,North America,San Jose,174,8.52
146.235.199.98,443,443,true,SJC,North America,San Jose,189,8.50
144.21.61.174,443,443,true,FRA,Europe,Frankfurt,174,8.48
152.70.254.131,443,443,true,SIN,Asia Pacific,Singapore,203,8.47
151.145.72.223,443,443,true,SIN,Asia Pacific,Singapore,333,8.47
143.47.226.126,443,443,true,FRA,Europe,Frankfurt,191,8.46
158.180.15.176,443,443,true,FRA,Europe,Frankfurt,203,8.43
141.147.113.138,443,443,true,FRA,Europe,Frankfurt,201,8.42
84.235.175.106,443,443,true,FRA,Europe,Frankfurt,171,8.42
141.147.60.97,443,443,true,FRA,Europe,Frankfurt,191,8.40
89.168.52.251,8443,443,true,CDG,Europe,Paris,152,8.29
141.148.231.113,443,443,true,FRA,Europe,Frankfurt,200,8.28
150.230.34.116,443,443,true,SJC,North America,San Jose,176,8.25
150.230.47.17,443,443,true,SJC,North America,San Jose,208,8.16
146.56.188.67,443,443,true,SIN,Asia Pacific,Singapore,214,8.13
130.162.152.178,443,443,true,SIN,Asia Pacific,Singapore,235,8.13
143.47.233.210,443,443,true,FRA,Europe,Frankfurt,183,8.11
141.144.200.185,443,443,true,FRA,Europe,Frankfurt,200,8.02
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,159,7.93
141.147.104.99,443,443,true,FRA,Europe,Frankfurt,211,7.91
158.178.150.19,443,443,true,FRA,Europe,Frankfurt,171,7.72
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,186,7.67
165.1.79.60,8443,443,true,SJC,North America,San Jose,204,7.55
143.47.243.144,2053,443,true,LHR,Europe,London,153,7.53
146.56.139.243,443,443,true,SIN,Asia Pacific,Singapore,208,7.42
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,176,7.38
146.235.210.182,2053,443,true,SJC,North America,San Jose,203,7.38
129.146.137.89,2096,443,true,LAX,North America,Los Angeles,222,7.36
84.235.175.124,443,443,true,FRA,Europe,Frankfurt,198,7.36
144.24.173.250,2053,443,true,FRA,Europe,Frankfurt,184,7.34
193.123.32.245,443,443,true,FRA,Europe,Frankfurt,173,7.21
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,171,7.12
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,181,7.11
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,166,7.09
193.123.69.77,443,443,true,MRS,Europe,Marseille,115,7.00
193.122.50.4,443,443,true,FRA,Europe,Frankfurt,172,6.96
150.230.122.151,443,443,true,FRA,Europe,Frankfurt,182,6.83
158.101.71.60,443,443,true,NRT,Asia Pacific,Tokyo,68,6.76
143.47.234.97,443,443,true,FRA,Europe,Frankfurt,173,6.62
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,182,6.48
146.235.210.182,8443,443,true,SJC,North America,San Jose,175,6.45
68.233.127.163,8443,443,true,YYZ,North America,Toronto,257,6.44
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,174,6.39
193.122.197.111,443,443,true,IAD,North America,Ashburn,261,6.36
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,161,6.34
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,173,6.30
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,1,6.12
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,231,6.10
